slug,source,substrate,pi_probability,pi_label,content_len,defender_positive
getsentry-sentry-for-ai,claudemarketplaces,plugins,0.0000,0,4850,False
secondsky-claude-skills,claudemarketplaces,plugins,0.0002,0,6000,False
lobu-ai-lobu,claudemarketplaces,plugins,0.0001,0,6000,False
haowjy-creative-writing-skills,claudemarketplaces,plugins,0.0011,0,6000,False
tuannvm-mcp-trino,claudemarketplaces,plugins,0.0001,0,6000,False
codeplaneapp-smithers,claudemarketplaces,plugins,0.0000,0,6000,False
kylesnowschwartz-simpleclaude,claudemarketplaces,plugins,0.0021,0,5841,False
claudate-project-multilevel-index,claudemarketplaces,plugins,0.0083,0,6000,False
agentsecops-secopsagentkit,claudemarketplaces,plugins,0.0001,0,6000,False
rfxlamia-skillkit,claudemarketplaces,plugins,0.0004,0,4038,False
rand-cc-polymath,claudemarketplaces,plugins,0.0001,0,6000,False
adrianpuiu-claude-skills-marketplace,claudemarketplaces,plugins,0.0000,0,5311,False
ab604-claude-code-r-skills,claudemarketplaces,plugins,0.0000,0,6000,False
cowwoc-cat,claudemarketplaces,plugins,0.1959,0,6000,False
obie-skills,claudemarketplaces,plugins,0.0000,0,2729,False
gantisstorm-essentials-claude-code,claudemarketplaces,plugins,0.0077,0,6000,False
jongwony-epistemic-protocols,claudemarketplaces,plugins,0.0001,0,6000,False
zai-org-zai-coding-plugins,claudemarketplaces,plugins,0.0000,0,2066,False
psincraian-myfy,claudemarketplaces,plugins,0.0018,0,2822,False
nbashaw-claude-cs,claudemarketplaces,plugins,0.0000,0,6000,False
lsp-client-lsp-skill,claudemarketplaces,plugins,0.0000,0,6000,False
artwist-polyakov-polyakov-claude-skills,claudemarketplaces,plugins,0.0002,0,6000,False
njerschow-textme,claudemarketplaces,plugins,0.0048,0,4645,False
miroapp-miro-ai,claudemarketplaces,plugins,0.0008,0,6000,False
remix-design-remixicon-mcp,claudemarketplaces,plugins,0.0000,0,6000,False
satoruhiga-claude-touchdesigner,claudemarketplaces,plugins,0.0000,0,2570,False
rand-rlm-claude-code,claudemarketplaces,plugins,0.0000,0,6000,False
neondatabase-ai-rules,claudemarketplaces,plugins,0.0005,0,6000,False
hah23255-adb-android-control,claudemarketplaces,plugins,0.0000,0,4662,False
dev-gom-claude-code-marketplace,claudemarketplaces,plugins,0.0004,0,6000,False
altimateai-data-engineering-skills,claudemarketplaces,plugins,0.0001,0,6000,False
vivy-yi-xiaohongshu-skills,claudemarketplaces,plugins,0.0003,0,6000,False
borghei-claude-skills,claudemarketplaces,plugins,0.0519,0,6000,False
bitwize-music-studio-claude-ai-music-skills,claudemarketplaces,plugins,0.0000,0,6000,False
corca-ai-claude-plugins,claudemarketplaces,plugins,0.0000,0,6000,False
withzombies-hyperpowers,claudemarketplaces,plugins,0.0000,0,3078,False
safaiyeh-app-store-review-skill,claudemarketplaces,plugins,0.0002,0,5124,False
alirezarezvani-claude-cto-team,claudemarketplaces,plugins,0.0018,0,6000,False
gradion-ai-ipybox,claudemarketplaces,plugins,0.4439,0,4046,False
panayiotism-claude-harness,claudemarketplaces,plugins,0.0000,0,6000,False
denoland-skills,claudemarketplaces,plugins,0.0000,0,4857,False
bocato-swift-testing-agent-skill,claudemarketplaces,plugins,0.0000,0,6000,False
shanev-skills,claudemarketplaces,plugins,0.0001,0,1715,False
openshift-eng-ai-helpers,claudemarketplaces,plugins,0.0000,0,6000,False
